""
"Как пациент, я хочу видеть расписания процедурного кабинета в приложении, чтобы не звонить в клинику.","Критерии приемки: Показано расписание процедурного кабинета Можно посмотреть расписание на конкретную дату  Сценарий: показано расписание процедурного кабинета Дано пациента направили на сдачу анализов Когда пациент хочет узнать расписание процедурного кабинета  Тогда показано расписание процедурного кабинета в приложении   Структура сценария: можно посмотреть расписание процедурного кабинета на конкретную дату Когда пациент хочет выбрать необходимый день для сдачи анализов  Тогда показано расписание на необходимую <дата>   Пример:  |День недели|Дата|Часы работы| |Пн|20.02.2023|7:00-12:00| |Чт|23.02.2023|Выходной|   Ссылка на прототипы: https://www.figma.com/file/2qY9wSlZ5FjQKQHPP16wqJ/%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9-%D1%84%D0%B0%D0%B9%D0%BB-%D1%81-%D0%BF%D1%80%D0%BE%D1%82%D0%BE%D1%82%D0%B8%D0%BF%D0%B0%D0%BC%D0%B8-%D0%92%D0%B5%D1%80%D1%81%D0%B8%D1%8F-1?type=design&node-id=0%3A1&mode=design&t=9Cmc19WZOWPOtlkn-1","","","","",""
"Как пользователь, я хочу получать уведомление в приложении о готовности результатов анализов, чтобы не проверять эти данные самостоятельно.","Критерии приемки Приложение показывает уведомление о готовности анализовPush-уведомления о готовности анализов  Сценарий: Приложение показывает уведомление о готовности анализов  Дано пациенту в медицинской карте прикреплен результат анализов Когда у пациента скачено мобильное приложение клиники Тогда пациенту приходит уведомление   Сценарий: Push-уведомления о готовности анализов  Когда у пациента скачено мобильное приложение клиники И пациент разрешил приложению отправлять push-уведомления Тогда пациенту приходят push-уведомления о готовности анализов","","","","",""
"Как пациент, я хочу получать назначения на медикаментозное лечение на почту, чтобы не потерять название нужных лекарств","Примечание Назначения на рецептурные препараты нельзя получать по почте.   Критерии приемки: Назначенное медикаментозное лечение приходит на почту.План лечения приходит в течении 5 минут после назначения.Назначение приходит в формате PDF  Сценарий: Назначенное медикаментозное лечение приходит на почту. Дано пациенту необходимо медикаментозное лечение  Когда врач назначил медикаментозное лечение И данное назначение не содержит рецептурных препаратов Тогда назначение отправлено пациенту на почту   Сценарий: План лечения приходит в течении 5 минут после назначения. Когда врач назначил медикаментозное лечение И данное назначение не содержит рецептурных Тогда назначение приходит пациенту на почту в течении 5 минут   Структура сценария: Назначение приходит в формате PDF Когда врач назначил медикаментозное лечение Тогда назначение приходит пациенту на почту в формате PDF И название файла ""Назначил <специализация врача> от <время назначения> <дата назначения>"" И  тема письма ""Медикаментозное лечение. <специализация>"" И тело письма ""Здравствуйте! Направляем Вам назначение на медикаментозное лечение. Для заказа лекарственных препаратов на дом можете воспользоваться услугами интернет-аптеки"" Примеры: |специализация врача|время назначения|дата назначения| |Гастроэнтеролог|15:30|13.02.2022| |Терапевт|18:00|20.05.2022|   |специализация| |Терапевт|   Ссылка на прототипы: https://www.figma.com/file/2qY9wSlZ5FjQKQHPP16wqJ/%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9-%D1%84%D0%B0%D0%B9%D0%BB-%D1%81-%D0%BF%D1%80%D0%BE%D1%82%D0%BE%D1%82%D0%B8%D0%BF%D0%B0%D0%BC%D0%B8-%D0%92%D0%B5%D1%80%D1%81%D0%B8%D1%8F-1?type=design&node-id=0%3A1&mode=design&t=9Cmc19WZOWPOtlkn-1","","","","",""
"Как пациент, я хочу просматривать результаты анализов в приложении, чтобы информация о здоровье находилась в одном месте.","Примечание Не все результаты анализов можно просматривать в приложении.    Критерии приемки: Можно выбрать необходимый анализ для получения результатаМожно посмотреть результат анализа в формате pdf  Сценарий: выбрать анализ для получения результата Дано пациент сдал анализы и по ним есть результаты  Когда пациент хочет посмотреть результаты анализов Тогда выбран необходимый анализ   Сценарий: скачать результат анализа в формате pdf Дано пациент выбрал необходимый анализ  Когда пациент хочет посмотреть результат конкретного анализа  Тогда в приложении можно посмотреть результат анализа в формате pdf.   Ссылка на прототипы: https://www.figma.com/file/2qY9wSlZ5FjQKQHPP16wqJ/%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9-%D1%84%D0%B0%D0%B9%D0%BB-%D1%81-%D0%BF%D1%80%D0%BE%D1%82%D0%BE%D1%82%D0%B8%D0%BF%D0%B0%D0%BC%D0%B8-%D0%92%D0%B5%D1%80%D1%81%D0%B8%D1%8F-1?type=design&node-id=0%3A1&mode=design&t=9Cmc19WZOWPOtlkn-1","","","","",""
"Когда у меня нет времени, я хочу просматривать назначение на обследование в приложении, чтобы не искать их в почте","","","","","",""
"Как пациент, я хочу видеть отображение расписания кабинета УЗИ в приложении, чтобы осуществить запись на удобное время","","","","","",""
"Когда у меня нет времени звонить в клинику, я хочу видеть статус выполнения анализов в приложении, чтобы планировать запись ко врачу.","","","","","",""
"Как пациент, я хочу просматривать назначения на медикаментозное лечение в приложении, чтобы купить необходимые лекарства в аптеке","","","","","",""
"Когда у меня плохое самочувствие, я хочу заказывать  лекарства по назначению врача на дом, чтобы не ходить в аптеку","","","","","",""
"Как пациент, я хочу просматривать  истории уведомлений, чтобы не упустить важную информацию.","","","","","",""
"Когда у меня нет интернета, я хочу получать SMS уведомление о готовности результатов анализов, чтобы записаться ко врачу в удобное время.","","","","","",""
"Как пациент, я хочу просматривать заключения врача по результатам обследования в приложении, чтобы выполнять назначенные рекомендации.","","","","","",""
"Как пациент, я хочу получать уведомление в приложении о готовности результатов УЗИ, чтобы записаться на прием к необходимому врачу.","","","","","",""

"Заголовки историй"
"Персона"
"Гипотеза"
"Востребованными у пользователей будут функции, которые позволяют получить назначения на обследования и медикаментозное лечение, получать результаты анализов. А также просмотр расписания процедурного кабинета для сдачи анализов для более удобного взаимодействия с медицинской клиникой «Вита»."
